Curso;Semestre;Período;Nome da Disciplina;ID da Disciplina;ID do Aluno;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR12;VAR13;VAR14;VAR16;VAR17;VAR18;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR30;VAR31;VAR31b;VAR31c;VAR32a;VAR32b;VAR32c;VAR32d;VAR33;VAR34;VAR35
Pedagogia;2014.2;5;Educação de Jovens e Adultos (5º);116;882;8;0;0;18;20;0;0;0;2;0;0;0;0;0;0;15;0;0;0;0;5,1154;58,76;0;133;20;63;16;77;37;3;0;5;0
Biologia;2013.2;6;Prática VI ;36;441;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;4;0;0;0;0;0;0
Pedagogia;2014.1;4;Prática Pedagógica IV;49;313;4;0;0;6;18;0;0;0;0;1;0;23;3;0;0;8;0;2;0;1;1;65,14;0;48;2;40;9;9;22;8;1;2;0
Pedagogia;2016.1;8;Avaliação da Aprendizagem;63;987;84;0;0;1;12;0;0;0;4;0;0;15;2;0;30,5;21;0;0;0;2;12;87,25;30,5;324;21;74;77;149;93;5;2;5;0
Biologia;2013.2;3;Psicologia da Aprendizagem ;30;241;3;0;5;7;26;0;0;0;4;2;0;17;3;0;6,33;27;0;4;0;2;5;228;6,33;151;28;96;24;24;103;0;3;5;0
Biologia;2014.1;4;Zoologia Geral;48;371;32;0;13;25;35;0;0;1;1;3;0;19;3;0;1;61;0;4;0;0;6;71,62;1;156;40;67;22;57;75;2;1;4;0
Pedagogia;2013.2;3;Metodologia Cientifica;31;22;12;0;0;0;2;0;0;0;0;0;0;21;3;0;9;8;0;3;0;2;1;219,05;9;43;12;28;11;18;14;0;2;2;0
Biologia;2016.1;8;Fisiologia Comparada;42;314;11;0;0;0;27;0;0;0;0;0;0;15;2;0;8,5;0;0;0;0;0;1;0;8,5;31;6;19;7;14;9;1;2;0;0
Administracao;2010.1;1;Metodologia de Estudo e de Pesquisa em Administração;9;820;35;0;75;572;450;0;0;1;0;19;0;21;3;0;9,5;38;0;0;0;0;9;27,01;9,5;246;0;92;54;86;99;7;2;4;0
Letras;2016.1;4;Linguística II;48;1525;14;0;0;0;54;0;0;0;0;0;0;15;2;0;0,5;5;0;0;0;0;0;42,38;0,5;15;3;12;2;6;7;0;2;1;0
Pedagogia;2014.1;4;Currículo e Contemporaneidade;44;289;2;0;0;3;14;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;12;3;2;8;0;0;0;0
Administracao;2016.1;8;Relações Internacionais;31;664;3;0;0;0;28;0;0;0;0;0;0;0;2;0;16,5;0;0;0;0;0;0;0;16,5;20;6;16;3;5;7;5;2;0;0
Biologia;2016.1;4;Bioquimica I;33;1395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pedagogia;2014.2;5;Prática Pedagógica V (5º);120;809;6;0;0;1;0;0;0;0;0;0;0;17;2;0;27,19;1;0;3;0;2;1,7308;0;27,19;45;5;17;6;23;16;0;2;0;0
Pedagogia;2014.2;1;Fundamentos Filosóficos da Educação ;108;1855;10;0;0;1;0;0;0;0;0;0;0;11;1;0;33,36;9;0;1;0;1;1,1538;71,52;33,36;30;10;15;7;3;20;0;2;4;0
Pedagogia;2010.2;1;Fundamentos Sociológicos da Educação;18;89;5;0;1;2;51;0;0;4;0;0;0;16;2;0;24,5;13;0;0;0;0;2;78,73;24,5;71;0;37;16;30;25;0;2;4;0
Pedagogia;2012.1;4;Prática Pedagógica IV;57;51;18;0;0;2;31;0;0;0;0;2;0;16;2;0;5,5;13;0;0;0;0;2;79,89;5,5;54;0;26;16;12;24;2;2;4;0
Pedagogia;2014.2;5;Educação de Jovens e Adultos (5º);116;832;9;0;1;1;1;0;0;0;1;0;0;16;2;0;30,71;28;0;5;0;3;3,7692;73,09;30,71;98;35;46;4;34;60;0;2;4;0
Letras;2011.2;5;Semântica e Pragmática;69;124;15;0;0;114;158;0;0;0;0;6;0;0;0;0;0;17;0;0;0;0;5;90,74;0;141;0;71;43;32;63;3;0;4;0
Letras;2016.1;4;Morfossintaxe II;50;1435;15;0;0;0;39;0;0;3;0;0;0;14;2;0;19,5;8;0;0;0;0;1;63,23;19,5;41;12;28;5;17;19;0;2;3;0
Letras;2014.2;1;História da Língua Portuguesa (1º);87;1436;6;0;2;25;45;0;0;0;0;0;4;10;1;0;0,57;12;0;6;4;0;1,2692;79,19;0,57;33;12;23;24;6;3;0;2;2;0
Biologia;2014.1;4;Prática IV;47;267;1;0;1;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0
Administracao;2010.1;1;Psicologia Organizacional;7;767;3;0;8;15;8;0;0;0;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0;19;0;10;4;7;8;0;0;0;0
Pedagogia;2016.1;8;Educação e Trabalho;65;873;15;0;0;0;2;0;0;0;0;0;0;19;3;0;14,5;15;0;0;0;2;3;83,09;14,5;78;23;46;15;27;36;0;2;4;0
Letras;2013.2;6;Sociolinguística;45;366;12;1;14;26;125;0;0;0;1;3;0;20;3;1;5;30;0;2;0;2;4;231,67;5;110;5;81;56;23;31;0;1;4;0
Pedagogia;2013.2;3;Movimentos Sociais;33;445;9;1;0;1;10;0;0;0;0;0;0;11;1;0;2,5;18;0;2;0;2;2;208,16;2,5;68;19;42;34;26;8;0;2;2;0
